36.25.1071;://www.metmuseum.org/art/collection/search/31467
36.25.1072a, b;://www.metmuseum.org/art/collection/search/31468
36.25.1073a, b;://www.metmuseum.org/art/collection/search/31469
36.25.1074;://www.metmuseum.org/art/collection/search/31470
36.25.1075a, b;://www.metmuseum.org/art/collection/search/31471
36.25.1081;://www.metmuseum.org/art/collection/search/31474
36.25.1082;://www.metmuseum.org/art/collection/search/31475
36.25.1084;://www.metmuseum.org/art/collection/search/31477
36.25.1086a, b;://www.metmuseum.org/art/collection/search/31479
36.25.1089a, b;://www.metmuseum.org/art/collection/search/31482
36.25.1091a, b;://www.metmuseum.org/art/collection/search/31484
36.25.901a, b;://www.metmuseum.org/art/collection/search/31493
36.25.902a, b;://www.metmuseum.org/art/collection/search/31494
36.25.905;://www.metmuseum.org/art/collection/search/31497
36.25.906;://www.metmuseum.org/art/collection/search/31498
36.25.908;://www.metmuseum.org/art/collection/search/31500
36.25.909;://www.metmuseum.org/art/collection/search/31501
36.25.910;://www.metmuseum.org/art/collection/search/31502
36.25.911;://www.metmuseum.org/art/collection/search/31503
36.25.912;://www.metmuseum.org/art/collection/search/31504
36.25.913;://www.metmuseum.org/art/collection/search/31505
36.25.914;://www.metmuseum.org/art/collection/search/31506
36.25.915;://www.metmuseum.org/art/collection/search/31507
36.25.916;://www.metmuseum.org/art/collection/search/31508
36.25.917;://www.metmuseum.org/art/collection/search/31509
36.25.918;://www.metmuseum.org/art/collection/search/31510
36.25.919;://www.metmuseum.org/art/collection/search/31511
36.25.929;://www.metmuseum.org/art/collection/search/31521
36.25.930;://www.metmuseum.org/art/collection/search/31522
36.25.931;://www.metmuseum.org/art/collection/search/31523
36.25.932;://www.metmuseum.org/art/collection/search/31524
36.25.933;://www.metmuseum.org/art/collection/search/31525
36.25.934;://www.metmuseum.org/art/collection/search/31526
36.25.935;://www.metmuseum.org/art/collection/search/31527
36.25.936;://www.metmuseum.org/art/collection/search/31528
36.25.937;://www.metmuseum.org/art/collection/search/31529
36.25.938;://www.metmuseum.org/art/collection/search/31530
36.25.939a, b;://www.metmuseum.org/art/collection/search/31531
36.25.940a, b;://www.metmuseum.org/art/collection/search/31532
36.25.941a, b;://www.metmuseum.org/art/collection/search/31533
36.25.942;://www.metmuseum.org/art/collection/search/31534
36.25.943;://www.metmuseum.org/art/collection/search/31535
36.25.944;://www.metmuseum.org/art/collection/search/31536
36.25.946a, b;://www.metmuseum.org/art/collection/search/31538
36.25.948;://www.metmuseum.org/art/collection/search/31540
36.25.950a, b;://www.metmuseum.org/art/collection/search/31541
36.25.976a–c;://www.metmuseum.org/art/collection/search/31566
36.25.980a–c;://www.metmuseum.org/art/collection/search/31570
36.25.981a, b;://www.metmuseum.org/art/collection/search/31571
36.25.984a, b;://www.metmuseum.org/art/collection/search/31574
36.25.994a, b;://www.metmuseum.org/art/collection/search/31584
36.25.999;://www.metmuseum.org/art/collection/search/31589
36.25.806;://www.metmuseum.org/art/collection/search/31606
36.25.812a, b;://www.metmuseum.org/art/collection/search/31612
36.25.819;://www.metmuseum.org/art/collection/search/31619
36.25.820;://www.metmuseum.org/art/collection/search/31620
36.25.821a, b;://www.metmuseum.org/art/collection/search/31621
36.25.825a, b;://www.metmuseum.org/art/collection/search/31624
36.25.826a–g;://www.metmuseum.org/art/collection/search/31625
36.25.827a–e;://www.metmuseum.org/art/collection/search/31626
36.25.828a–d;://www.metmuseum.org/art/collection/search/31627
36.25.829a–e;://www.metmuseum.org/art/collection/search/31628
36.25.830;://www.metmuseum.org/art/collection/search/31629
36.25.832;://www.metmuseum.org/art/collection/search/31631
36.25.833a, b;://www.metmuseum.org/art/collection/search/31632
36.25.841;://www.metmuseum.org/art/collection/search/31635
36.25.844a, b;://www.metmuseum.org/art/collection/search/31637
36.25.897;://www.metmuseum.org/art/collection/search/31679
36.25.700a, b;://www.metmuseum.org/art/collection/search/31681
36.25.705;://www.metmuseum.org/art/collection/search/31685
36.25.706;://www.metmuseum.org/art/collection/search/31686
36.25.707;://www.metmuseum.org/art/collection/search/31687
36.25.708a, b;://www.metmuseum.org/art/collection/search/31688
